Provider CCN,Hospital Name,State Code,Region,Region Numeric,Rural Versus Urban,RvU Numeric,CCN Facility Type,Cost of Charity Care,Total Bad Debt Expense,Cost of Uncompensated Care,Total Unreimbursed and Uncompensated Care,Inpatient Total Charges,Outpatient Total Charges,Combined Outpatient + Inpatient Total Charges,Inpatient Revenue,Outpatient Revenue,Net Income,Net Revenue from Medicaid,Medicaid Charges
100044,MARTIN MEDICAL CENTER,FL,SE,1,U,1,STH,5334134,11046666,8401251,11771030,385563561,349176942,734740503,385563560,362804137,-10629050,4543107,52842459
450090,NORTH TEXAS MEDICAL CENTER,TX,SW,2,R,2,STH,112588,1824715,593966,594602,6044770,14374988,20419758,6638309,14729903,4580833,841405,2189792
201302,LINCOLNHEALTH,ME,NE,3,R,2,CAH,202374,1047204,851792,851792,9440440,21196720,30637160,10567431,23595634,-517955,1692896,2070344
201312,WALDO COUNTY GENERAL HOSPITAL,ME,NE,3,R,2,CAH,318681,1457938,1169545,1169545,6594055,28862886,35456941,7811551,32537398,-2222528,3056258,5419568
201315,STEPHENS MEMORIAL HOSPITAL - CAH,ME,NE,3,R,2,CAH,145190,1864584,1315237,1315237,5969359,23288733,29258092,7049894,26141179,230801,2745279,3679143
100105,INDIAN RIVER MEMORIAL HOSPITA.L,FL,SE,1,U,1,STH,1200795,2628266,1885417,5358823,125543668,142461970,268005638,131956801,167851870,-5843870,2326773,22572410
450746,KNOX COUNTY HOSPITAL,TX,SW,2,R,2,STH,13864,62594,27476,27476,347221,35737482,36084703,381991,35702712,13215373,157688,428807
260050,SSM - ST. FRANCIS HOSPITAL,MO,MW,4,R,2,STH,484688,876753,1042569,1559104,8210211,20392797,28603008,8574364,23223367,616089,785327,3265422
170014,RANSOM MEMORIAL HOSPITAL,KS,MW,4,R,2,STH,86707,2574985,1439995,1827809,7009590,26482085,33491675,7183479,28454292,-167588,733877,3493439
310086,KENNEDY UNIVERSITY HOSPITAL,NJ,NE,3,U,1,STH,4007446,17059657,6927232,14498768,1208425312,604523749,1812949061,1208425315,604523750,53825075,41079674,372262657
420055,MARION COUNTY MEDICAL CENTER,SC,SE,1,R,2,STH,753988,4851848,1559894,2390109,36142785,57832930,93975715,36142785,57832930,-18269053,1903483,17451105
420036,SPRINGS MEMORIAL HOSPITAL,SC,SE,1,R,2,STH,1693048,14880255,3229675,5086810,111527758,134074979,245602737,111527759,134074979,-31969787,1527799,44387979
420019,CHESTER REGIONAL MEDICAL CENTER,SC,SE,1,R,2,STH,931635,2760267,1691305,3782256,19720067,42719004,62439071,19720067,42719004,-6758620,1563433,13436126
